FaunaID,Fauna,TituloID
188,Vencejo común (Apus apus),547
96,Ánade real /Azulón (Anas platyrhynchos),547
13,Paloma (Columba ssp),549
3,Ciervo (Cervus elaphus),550
13,Paloma (Columba ssp),562
0,Artrópodos (Filo: Arthropoda),563
189,Esfinge abejorro de orla ancha (Hemaris fuciformis),563
130,Langosta egipcia / cigarrón (Anacridium aegyptium),563
31,Mosca (Scaeva pyrastri),563
26,Níspola / ocelada común (Coenonympha pamphilus),563
33,Saltamontes / Esperanzas (Tettigonia cantans),563
5,Conejo (Oryctolagus cuniculus),564
190,Abeja (Nomioides minutissimus),567
191,Abeja cuco (Triepeolus tristis),567
192,"Araña (Araneus marmoreus, var. pyramidatus)",567
123,Araña de jardín / araña de cruz (Araneus diadematus),567
0,Artrópodos (Filo: Arthropoda),567
193,Avispa (Isodontia paludosa),567
194,Avispa (Ophion sp.),567
195,Caballito del diablo (Ischnura elegans),567
196,Chinche (Anthocoris sp.),567
197,Chinche (Liorhyssus hyalinus),567
198,Escarabajo (Hoplia argentea),567
115,Escarabajo de las azucenas (Lilioceris lilii),567
199,Escarabajo longicornio (Lepturobosca virens),567
189,Esfinge abejorro de orla ancha (Hemaris fuciformis),567
200,Falsa oruga del rosal (Arge pagana),567
30,Mariposa ícaro / Ícaro (Polyommatus icarus),567
25,Mariquita /mariquita de 7 puntos / mariquita común (Coccinella septempunctata),567
110,Mariquita de dos puntos (Adalia bipunctata),567
201,Mosca (Dioctria sp.),567
31,Mosca (Scaeva pyrastri),567
202,Mosca abeja / mosca abejorro (Parageron incisus),567
203,Mírido (Orthotylus sp.),567
204,Náyade (Celastrina argiolus),567
131,Polilla (Trichiura crataegi),567
205,Zancudo (Tipula sp.),567
206,Avestruz (Struthio camelus),569
22,León (Panthera leo),569
2,Oveja (Ovis aries),569
13,Paloma (Columba ssp),569
3,Ciervo (Cervus elaphus),571
0,Artrópodos (Filo: Arthropoda),574
40,Centollo / cabra (Maja brachydactyla),574
84,Gato (Felis silvestris catus),574
207,Langosta común (Palinurus elaphas),574
51,Pavo común (Meleagris gallopavo),574
15,Perro (Canis lupus familiaris),574
96,Ánade real /Azulón (Anas platyrhynchos),574
15,Perro (Canis lupus familiaris),575
14,Caballo (Equus ferus caballus),578
14,Caballo (Equus ferus caballus),580
0,Artrópodos (Filo: Arthropoda),581
208,Escorpión (Euscorpius flavicaudis),581
156,Gitana (Arctia caja),581
133,Mosca doméstica (Musca domestica),581
15,Perro (Canis lupus familiaris),585
0,Artrópodos (Filo: Arthropoda),586
106,Blanquita de la col (Pieris rapae),586
13,Paloma (Columba ssp),588
0,Artrópodos (Filo: Arthropoda),591
14,Caballo (Equus ferus caballus),591
209,Escorpión (Euscorpius italicus),591
15,Perro (Canis lupus familiaris),591
2,Oveja (Ovis aries),593
5,Conejo (Oryctolagus cuniculus),594
13,Paloma (Columba ssp),600
0,Artrópodos (Filo: Arthropoda),603
106,Blanquita de la col (Pieris rapae),603
95,Ortiguera (Aglais urticae),603
60,Vulcana / atalanta /numerada (Vanessa atalanta),603
13,Paloma (Columba ssp),606
14,Caballo (Equus ferus caballus),608
15,Perro (Canis lupus familiaris),608
0,Artrópodos (Filo: Arthropoda),611
152,Cervantes (Erynnis tages),611
25,Mariquita /mariquita de 7 puntos / mariquita común (Coccinella septempunctata),611
202,Mosca abeja / mosca abejorro (Parageron incisus),611
22,León (Panthera leo),619
210,Toro (Bos taurus),619
211,Agachadiza común (Gallinago gallinago),620
79,Cerceta común (Anas crecca),620
212,Estornino pinto (Sturnus vulgaris),620
82,Fringílido (Fringillidae),620
